规则,药品名,拼音首字母,医保编码数,KP ID
药品区分性别使用,艾地骨化醇软胶囊,adghcrjn,49,31299
药品区分性别使用,艾附暖宫丸,afngw,75,31208
药品区分性别使用,氨酚帕马溴片,afpmxp,4,31406
药品区分性别使用,安宫止血颗粒,agzxkl,1,31210
药品区分性别使用,安宫止血丸,agzxw,3,31403
药品区分性别使用,阿那曲唑片,anqzp,14,31298
药品区分性别使用,爱普列特片,apltp,4,31209
药品区分性别使用,阿帕他胺片,aptap,3,31207
药品区分性别使用,奥特康唑胶囊,atkzjn,2,31211
药品区分性别使用,安胎丸,atw,12,31404
药品区分性别使用,安胎益母丸,atymw,1,31405
药品区分性别使用,奥硝唑阴道栓,axzyds,16,31363
药品区分性别使用,八宝坤顺丸,bbksw,5,31407
药品区分性别使用,百草妇炎清栓,bcfyqs,6,31212
药品区分性别使用,白带净胶囊,bdjjn,4,31411
药品区分性别使用,白带净丸,bdjw,1,31412
药品区分性别使用,白带片,bdp,2,31413
药品区分性别使用,白带丸,bdw,48,31414
药品区分性别使用,保妇康凝胶,bfknj,12,31213
药品区分性别使用,保妇康泡沫剂,bfkpmj,1,31415
药品区分性别使用,保妇康栓,bfks,6,31214
药品区分性别使用,葆宫止血颗粒,bgzxkl,5,31215
药品区分性别使用,比卡鲁胺胶囊,bklajn,3,31216
药品区分性别使用,比卡鲁胺片,bklap,14,31217
药品区分性别使用,补肾斑龙片,bsblp,18,31424
药品区分性别使用,保胎灵,btl,21,31416
药品区分性别使用,保胎灵胶囊,btljn,8,31417
药品区分性别使用,保胎灵片,btlp,9,31418
药品区分性别使用,保胎丸,btw,19,31419
药品区分性别使用,保胎无忧胶囊,btwyjn,3,31420
药品区分性别使用,保胎无忧片,btwyp,9,31421
药品区分性别使用,保胎无忧散,btwys,2,31422
药品区分性别使用,八味痛经胶囊,bwtjjn,3,31408
药品区分性别使用,八味痛经颗粒,bwtjkl,5,31409
药品区分性别使用,八味痛经片,bwtjp,2,31410
药品区分性别使用,博性康药膜,bxkym,2,31423
药品区分性别使用,补血生乳颗粒,bxsrkl,3,31300
药品区分性别使用,补血调经片,bxtjp,9,31425
药品区分性别使用,补血益母颗粒,bxymkl,3,31301
药品区分性别使用,补血益母丸,bxymw,2,31302
药品区分性别使用,潮安胶囊,cajn,1,31443
药品区分性别使用,潮安片,cap,4,31444
药品区分性别使用,产妇安合剂,cfahj,13,31431
药品区分性别使用,产妇安胶囊,cfajn,9,31432
药品区分性别使用,产妇安口服液,cfakfy,5,31434
药品区分性别使用,产妇安颗粒,cfakl,28,31433
药品区分性别使用,产复康颗粒,cfkkl,8,31218
药品区分性别使用,产复欣颗粒,cfxkl,3,31435
药品区分性别使用,产复欣丸,cfxw,4,31436
药品区分性别使用,产后补丸,chbw,2,31437
药品区分性别使用,慈航胶囊,chjn,8,31447
药品区分性别使用,产后康膏,chkg,4,31438
药品区分性别使用,慈航片,chp,17,31448
药品区分性别使用,慈航丸,chw,2,31449
药品区分性别使用,产后益母丸,chymw,1,31439
药品区分性别使用,产后逐瘀胶囊,chzyjn,10,31219
药品区分性别使用,产后逐瘀颗粒,chzykl,3,31440
药品区分性别使用,产后逐瘀片,chzyp,9,31441
药品区分性别使用,产灵丸,clw,3,31442
药品区分性别使用,参芪益母颗粒,cqymkl,4,31426
药品区分性别使用,催乳颗粒,crkl,3,31451
药品区分性别使用,椿乳凝胶,crnj,2,31303
药品区分性别使用,催乳丸,crw,2,31452
药品区分性别使用,醋酸阿比特龙片,csabtlp,20,31220
药品区分性别使用,醋酸阿托西班注射液,csatxbzsy,31,31304
药品区分性别使用,除湿白带丸,csbdw,12,31445
药品区分性别使用,醋酸氯己定栓,csljds,10,31450
药品区分性别使用,参术止带糖浆,cszdtj,5,31430
药品区分性别使用,春血安胶囊,cxajn,3,31446
药品区分性别使用,重组人干扰素α2a栓,czrgrsas,2,31399
药品区分性别使用,重组人干扰素α2b栓,czrgrsbs,3,31400
药品区分性别使用,重组人干扰素α2b阴道泡腾胶囊,czrgrsbydptjn,3,31681
药品区分性别使用,丹莪妇康煎膏,defkjg,8,31222
药品区分性别使用,丹莪妇康颗粒,defkkl,12,31223
药品区分性别使用,当归调经颗粒,dgtjkl,20,31453
药品区分性别使用,定坤丹,dkd,35,31309
药品区分性别使用,定坤丸,dkw,8,31310
药品区分性别使用,达罗他胺片,dltap,1,31221
药品区分性别使用,地诺前列酮栓,dnqlts,1,31305
药品区分性别使用,地诺孕素片,dnysp,23,31224
药品区分性别使用,地屈孕酮片,dqytp,8,31225
药品区分性别使用,度他雄胺软胶囊,dtxarjn,20,31364
药品区分性别使用,地贞颗粒,dzkl,5,31306
药品区分性别使用,二益丸,eyw,4,31477
药品区分性别使用,恩扎卢胺软胶囊,ezlarjn,6,31226
药品区分性别使用,妇宝金丸,fbjw,3,31478
药品区分性别使用,妇宝颗粒,fbkl,7,31479
药品区分性别使用,妇必舒胶囊,fbsjn,2,31480
药品区分性别使用,妇得康泡沫剂,fdkpmj,1,31481
药品区分性别使用,复方醋酸氯己定栓,ffcsljds,6,31549
药品区分性别使用,复方醋酸棉酚片,ffcsmfp,3,31365
药品区分性别使用,复方芙蓉泡腾栓,fffrpts,3,31550
药品区分性别使用,复方炔诺酮片,ffgntp,1,31552
药品区分性别使用,复方庚酸炔诺酮注射液,ffgsgntzsy,3,31551
药品区分性别使用,复方氯霉素阴道泡腾片,fflmsydptp,2,31366
药品区分性别使用,复方四维女贞子胶囊,ffswnzzjn,1,31553
药品区分性别使用,复方益母草膏,ffymcg,13,31554
药品区分性别使用,复方益母草胶囊,ffymcjn,6,31555
药品区分性别使用,复方益母草流浸膏,ffymcljg,6,31556
药品区分性别使用,复方益母胶囊,ffymjn,4,31316
药品区分性别使用,复方益母口服液,ffymkfy,6,31318
药品区分性别使用,复方益母颗粒,ffymkl,2,31317
药品区分性别使用,复方益母片,ffymp,2,31319
药品区分性别使用,复方左炔诺孕酮片,ffzgnytp,2,31557
药品区分性别使用,妇洁阴洗液,fjyxy,4,31482
药品区分性别使用,妇科白带膏,fkbdg,6,31493
药品区分性别使用,妇科白带胶囊,fkbdjn,3,31494
药品区分性别使用,妇科白带片,fkbdp,7,31495
药品区分性别使用,妇科白凤胶囊,fkbfjn,11,31496
药品区分性别使用,妇科白凤口服液,fkbfkfy,8,31498
药品区分性别使用,妇科白凤颗粒,fkbfkl,2,31497
药品区分性别使用,妇科白凤片,fkbfp,2,31499
药品区分性别使用,妇康宝合剂,fkbhj,7,31483
药品区分性别使用,妇康宝口服液,fkbkfy,18,31485
药品区分性别使用,妇康宝颗粒,fkbkl,9,31484
药品区分性别使用,妇科断红饮胶囊,fkdhyjn,2,31230
药品区分性别使用,妇科得生丸,fkdsw,1,31500
药品区分性别使用,妇科分清丸,fkfqw,10,31501
药品区分性别使用,妇科回生丸,fkhsw,3,31502
药品区分性别使用,妇可靖胶囊,fkjjn,7,31235
药品区分性别使用,妇康胶囊,fkjn,4,31486
药品区分性别使用,妇康口服液,fkkfy,2,31487
药品区分性别使用,妇康宁胶囊,fknjn,4,31488
药品区分性别使用,妇科宁坤丸,fknkw,2,31503
药品区分性别使用,妇康宁片,fknp,60,31489
药品区分性别使用,妇康片,fkp,31,31490
药品区分性别使用,妇科千金胶囊,fkqjjn,3,31231
药品区分性别使用,妇科千金片,fkqjp,4,31312
药品区分性别使用,妇康栓,fks,5,31491
药品区分性别使用,妇科十味胶囊,fkswjn,6,31504
药品区分性别使用,妇科十味片,fkswp,79,31232
药品区分性别使用,妇科调经滴丸,fktjdw,4,31311
药品区分性别使用,妇科调经胶囊,fktjjn,5,31227
药品区分性别使用,妇科调经颗粒,fktjkl,19,31228
药品区分性别使用,妇科调经片,fktjp,80,31229
药品区分性别使用,妇康丸,fkw,6,31492
药品区分性别使用,妇科万应膏,fkwyg,9,31505
药品区分性别使用,妇科养坤丸,fkykw,11,31506
药品区分性别使用,妇科养荣胶囊,fkyrjn,5,31507
药品区分性别使用,妇科养荣丸,fkyrw,10,31508
药品区分性别使用,妇科养荣丸(浓缩丸),fkyrwnsw,9,31509
药品区分性别使用,妇科止带胶囊,fkzdjn,8,31510
药品区分性别使用,妇科止带片,fkzdp,31,31511
药品区分性别使用,妇科止血灵,fkzxl,22,31512
