批次,发布日期,规则,规则分类,KP ID,药品名,拼音首字母,医保编码数,医保编码(全部),检测逻辑,逻辑依据,备注
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,49,XA11CCA351E002010101121; XA11CCA351E002010101523; XA11CCA351E002010102180; XA11CCA351E002010103013; XA11CCA351E002010104586; XA11CCA351E002010107011; XA11CCA351E002010109981; XA11CCA351E002010179189; XA11CCA351E002010180937; XA11CCA351E002010181812; XA11CCA351E002010201121; XA11CCA351E002010203013; XA11CCA351E002010204586; XA11CCA351E002010207011; XA11CCA351E002010209981; XA11CCA351E002010280937; XA11CCA351E002010281812; XA11CCA351E002010301121; XA11CCA351E002010303013; XA11CCA351E002010304586; XA11CCA351E002010307011; XA11CCA351E002010380937; XA11CCA351E002010381812; XA11CCA351E002010401121; XA11CCA351E002010403013; XA11CCA351E002010404586; XA11CCA351E002010407011; XA11CCA351E002010481812; XA11CCA351E002010501121; XA11CCA351E002010503013; XA11CCA351E002010504586; XA11CCA351E002010601121; XA11CCA351E002010603013; XA11CCA351E002020101523; XA11CCA351E002020103013; XA11CCA351E002020107011; XA11CCA351E002020109981; XA11CCA351E002020179189; XA11CCA351E002020181812; XA11CCA351E002020203013; XA11CCA351E002020207011; XA11CCA351E002020209981; XA11CCA351E002020279189; XA11CCA351E002020281812; XA11CCA351E002020303013; XA11CCA351E002020307011; XA11CCA351E002020403013; XA11CCA351E002020407011; XA11CCA351E002020503013,与限定性别不符,限绝经后女性骨质疏松症。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31208,艾附暖宫丸,afngw,75,ZD03AAA0043010100166; ZD03AAA0043010100220; ZD03AAA0043010100716; ZD03AAA0043010100960; ZD03AAA0043010101084; ZD03AAA0043010101156; ZD03AAA0043010101174; ZD03AAA0043010101190; ZD03AAA0043010101343; ZD03AAA0043010101352; ZD03AAA0043010102430; ZD03AAA0043010102458; ZD03AAA0043010102591; ZD03AAA0043010102615; ZD03AAA0043010102625; ZD03AAA0043010102786; ZD03AAA0043010102816; ZD03AAA0043010102826; ZD03AAA0043010102891; ZD03AAA0043010102960; ZD03AAA0043010102986; ZD03AAA0043010103285; ZD03AAA0043010103409; ZD03AAA0043010103450; ZD03AAA0043010103494; ZD03AAA0043010103709; ZD03AAA0043010103747; ZD03AAA0043010103820; ZD03AAA0043010103830; ZD03AAA0043010103843; ZD03AAA0043010103860; ZD03AAA0043010103868; ZD03AAA0043010103879; ZD03AAA0043010103891; ZD03AAA0043010103893; ZD03AAA0043010103901; ZD03AAA0043010104082; ZD03AAA0043010104181; ZD03AAA0043010105856; ZD03AAA0043010105858; ZD03AAA0043010105878; ZD03AAA0043010105893; ZD03AAA0043010202615; ZD03AAA0043010202743; ZD03AAA0043010202891; ZD03AAA0043010202986; ZD03AAA0043010203891; ZD03AAA0043020100166; ZD03AAA0043020101190; ZD03AAA0043020101343; ZD03AAA0043020102615; ZD03AAA0043020102625; ZD03AAA0043020102661; ZD03AAA0043020102816; ZD03AAA0043020102891; ZD03AAA0043020102973; ZD03AAA0043020102986; ZD03AAA0043020103285; ZD03AAA0043020103450; ZD03AAA0043020103493; ZD03AAA0043020103868; ZD03AAA0043020103893; ZD03AAA0043020104181; ZD03AAA0043020105893; ZD03AAA0043020202661; ZD03AAA0043020203450; ZD03AAA0043020203493; ZD03AAA0043020203868; ZD03AAA0043020302661; ZD03AAA0043020303450; ZD03AAA0043020303493; ZD03AAA0043020402661; ZD03AAA0043030101174; ZD03AAA0043030102891; ZD03AAA0043030103493,与限定性别不符,理气补血，暖宫调经。用于子宫虚寒，月经量少、后错，经期腹痛，腰酸带下。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31406,氨酚帕马溴片,afpmxp,4,XN02BEA139A001010103094; XN02BEA139A001010203094; XN02BEA139A001010303094; XN02BEA139A001010403094,与限定性别不符,本品适用于暂时性缓解经前期及月经期间的腹痛、头痛、水肿、肿胀等经前期综合症不适症状。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31210,安宫止血颗粒,agzxkl,1,ZD01CAA0063010104080,与限定性别不符,活血化瘀，清热止血。用于瘀热内蕴所致的恶露不净，症见恶露不止、小腹疼痛、口燥咽干；人工流产及产后子宫复位不全见上述证候者。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31403,安宫止血丸,agzxw,3,ZD01BAA0141010101283; ZD01BAA0141010201283; ZD01BAA0141010301283,与限定性别不符,活血化瘀、清热止血。用于人工流产、足月分娩后因血瘀兼热证引起的恶露不净。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31298,阿那曲唑片,anqzp,14,XL02BGA045A001010101003; XL02BGA045A001010101359; XL02BGA045A001010101749; XL02BGA045A001010104520; XL02BGA045A001010104641; XL02BGA045A001010178241; XL02BGA045A001010181659; XL02BGA045A001010201003; XL02BGA045A001010201749; XL02BGA045A001010204641; XL02BGA045A001010281659; XL02BGA045A001010301003; XL02BGA045A001010304641; XL02BGA045A001010381659,与限定性别不符,适用于绝经后妇女的晚期乳腺癌的治疗。对雌激素受体阴性的病人，若其对他莫昔芬呈现阳性的临床反应，可考虑使用本品。适用于绝经后妇女雌激素受体阳性的早期乳腺癌的辅助治疗。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31209,爱普列特片,apltp,4,XG04CBA088A001010101467; XG04CBA088A001010201467; XG04CBA088A001010301467; XG04CBA088A001010401467,与限定性别不符,适用于治疗良性前列腺增生症，改善因良性前列腺增生的有关症状。,男
第一批,2025-05-23,药品区分性别使用,医疗-药品,31207,阿帕他胺片,aptap,3,XL02BBA326A001010102180; XL02BBA326A001010178537; XL02BBA326A001020278537,与限定性别不符,限转移性激素敏感性前列腺癌(mHSPC)患者。,男
第一批,2025-05-23,药品区分性别使用,医疗-药品,31211,奥特康唑胶囊,atkzjn,2,XJ02ACA397E001010184811; XJ02ACA397E001010284811,与限定性别不符,本品用于治疗重度外阴阴道假丝酵母菌病（VVC）。,女
第一批,2025-05-23,药品区分性别使用,医疗-药品,31404,安胎丸,atw,12,ZD03AAA0118010100281; ZD03AAA0118010100311; ZD03AAA0118010100428; ZD03AAA0118010100716; ZD03AAA0118010102826; ZD03AAA0118010104850; ZD03AAA0118010105152; ZD03AAA0118010105156; ZD03AAA0118010204850; ZD03AAA0118010205335; ZD03AAA0118010205350; ZD03AAA0118010305350,与限定性别不符,养血安胎。用于妊娠血虚，胎动不安，面色淡黄，不思饮食，神疲乏力。,女
