批次,发布日期,规则,规则分类,KP ID,药品,拼音,码序号,医保编码
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,1,XA11CCA351E002010101121
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,2,XA11CCA351E002010101523
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,3,XA11CCA351E002010102180
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,4,XA11CCA351E002010103013
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,5,XA11CCA351E002010104586
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,6,XA11CCA351E002010107011
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,7,XA11CCA351E002010109981
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,8,XA11CCA351E002010179189
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,9,XA11CCA351E002010180937
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,10,XA11CCA351E002010181812
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,11,XA11CCA351E002010201121
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,12,XA11CCA351E002010203013
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,13,XA11CCA351E002010204586
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,14,XA11CCA351E002010207011
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,15,XA11CCA351E002010209981
第一批,2025-05-23,药品区分性别使用,医疗-药品,31299,艾地骨化醇软胶囊,adghcrjn,16,XA11CCA351E002010280937
